EDAD;Gender;Education Level;Job Title;AÑOS EXP;Salario;Class;Salary;Years of Experience;Age
25;Female;Master's;Junior Marketing Specialist;15;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;Menor o igual a 25
28;Male;Bachelor's;Junior Software Engineer;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
29;Male;Bachelor's;Junior Marketing Coordinator;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
26;Female;Bachelor's;Marketing Coordinator;1;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
28;Female;Bachelor's;Social Media Specialist;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
27;Male;Bachelor's;Technical Writer;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
36;Female;Bachelor's;Administrative Assistant;8;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
31;Female;Bachelor's;Customer Service Representative;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
27;Male;Bachelor's;Junior Account Manager;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
31;Female;Bachelor's;Event Coordinator;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
29;Female;Bachelor's;Junior HR Generalist;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
29;Male;Bachelor's;Junior Web Designer;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
29;Female;Bachelor's;Junior Recruiter;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
30;Female;Bachelor's;Junior Copywriter;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
30;Male;Bachelor's;IT Support;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
29;Female;Bachelor's;Graphic Designer;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
29;Male;Bachelor's;Marketing Analyst;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
33;Male;Bachelor's;Junior Web Developer;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
30;Female;Bachelor's;Digital Content Producer;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
33;Female;Bachelor's;Junior Operations Analyst;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
32;Female;Bachelor's;Marketing Coordinator;4;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
30;Female;Bachelor's;Junior Marketing Manager;4;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
33;Male;Bachelor's;Junior Software Developer;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
32;Female;Bachelor's;Junior Financial Analyst;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
31;Female;Bachelor's;Junior HR Coordinator;4;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
29;Male;Bachelor's;Marketing Analyst;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
31;Female;Bachelor's;Accountant;4;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
30;Female;Bachelor's;Social Media Manager;4;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
30;Female;Bachelor's;Content Marketing Manager;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
31;Female;Bachelor's;Marketing Coordinator;6;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
39;Female;Bachelor's;Administrative Assistant;10;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
36;Female;Bachelor's;Sales Associate;7;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
36;Female;Bachelor's;Recruiter;9;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
35;Female;Bachelor's;HR Generalist;7;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
30;Male;Bachelor's;Network Engineer;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
40;Female;Bachelor's;Event Coordinator;12;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
36;Male;Bachelor's;IT Support Specialist;7;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
36;Male;Bachelor's;Junior Data Analyst;7;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
31;Male;Bachelor's;Junior Project Manager;4;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
28;Female;Master's;Data Analyst;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
35;Male;Bachelor's;Financial Analyst;6;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
39;Female;Bachelor's;Marketing Specialist;10;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
27;Female;Master's;UX Researcher;2;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
33;Male;Bachelor's;Web Developer;6;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
39;Female;Bachelor's;Training Specialist;12;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
40;Female;Bachelor's;Office Manager;15;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 34 a 41 años
39;Female;Bachelor's;Recruiter;11;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
36;Male;Bachelor's;Technical Recruiter;8;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
29;Male;Master's;Software Developer;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
29;Male;Master's;Data Scientist;3;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
32;Male;Bachelor's;Account Manager;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
33;Male;Bachelor's;Business Analyst;7;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
31;Male;Bachelor's;Sales Manager;4;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
34;Female;Master's;Business Analyst;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
34;Female;Master's;UX Designer;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
40;Female;Bachelor's;HR Manager;12;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
41;Female;Master's;Data Analyst;13;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
40;Female;Bachelor's;HR Generalist;15;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 34 a 41 años
39;Female;Master's;Senior Project Coordinator;13;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
38;Male;Bachelor's;Customer Service Manager;11;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
38;Female;Bachelor's;Senior Accountant;10;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
35;Male;Bachelor's;Senior Marketing Coordinator;7;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
33;Male;Master's;Business Intelligence Analyst;7;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
32;Male;Bachelor's;Software Engineer;5;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
33;Female;Master's;Marketing Manager;7;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
33;Male;Master's;Product Designer;6;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
38;Female;Master's;Digital Marketing Manager;10;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
34;Male;Master's;Business Development Manager;8;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
38;Female;Master's;Public Relations Manager;10;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
32;Male;Master's;Senior Business Analyst;6;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
34;Male;Bachelor's;Senior Business Analyst;8;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
39;Female;Bachelor's;Senior Sales Representative;12;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
36;Male;Bachelor's;Sales Manager;9;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
37;Male;Bachelor's;Project Manager;10;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
34;Female;Master's;Financial Advisor;10;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
35;Male;Master's;Product Marketing Manager;8;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
37;Male;Bachelor's;Software Project Manager;9;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
31;Male;Master's;Senior Financial Analyst;6;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
37;Female;Master's;Senior HR Generalist;9;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
37;Female;Master's;Senior Marketing Analyst;9;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
32;Male;Master's;Senior Software Engineer;6;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
41;Female;Master's;Senior Marketing Analyst;14;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
42;Female;Bachelor's;Sales Manager;17;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
40;Female;Master's;Senior Training Specialist;12;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
35;Male;Master's;Product Manager;7;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
43;Male;Bachelor's;Supply Chain Manager;18;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
34;Male;Master's;Senior Software Developer;8;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
34;Male;Master's;Senior Software Engineer;9;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
38;Male;PhD;Senior Scientist;10;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
37;Female;Master's;Software Manager;11;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
45;Male;Bachelor's;Operations Analyst;20;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
42;Female;Master's;Senior Graphic Designer;15;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
45;Male;Bachelor's;Sales Operations Manager;18;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
41;Female;Master's;Senior Marketing Manager;13;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
44;Male;Bachelor's;Senior IT Support Specialist;14;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 42 a 49 años
40;Female;Bachelor's;Senior Account Manager;14;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
39;Male;PhD;Senior Engineer;12;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
42;Male;Master's;Project Engineer;14;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 42 a 49 años
33;Male;Master's;Senior Operations Manager;7;25000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
42;Female;Master's;Product Manager;12;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 42 a 49 años
38;Male;PhD;Senior Scientist;11;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
46;Male;Bachelor's;IT Manager;19;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
42;Female;Master's;Creative Director;14;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 42 a 49 años
36;Male;PhD;Principal Scientist;11;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
35;Male;Master's;Senior Product Manager;10;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
43;Female;Master's;Senior Product Marketing Manager;14;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 42 a 49 años
36;Male;Master's;Senior Business Development Manager;11;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
41;Female;Master's;Senior Human Resources Manager;13;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
44;Male;Bachelor's;Operations Manager;16;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
40;Female;Master's;Project Manager;14;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
41;Male;Master's;Strategy Consultant;13;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
51;Female;Bachelor's;Customer Service Manager;22;25000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
50;Female;Bachelor's;Supply Chain Analyst;22;25000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
46;Male;Master's;Senior Project Manager;21;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
47;Male;Bachelor's;Senior Sales Manager;20;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
48;Female;Bachelor's;HR Manager;18;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
41;Male;Master's;Financial Manager;13;25000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
43;Female;PhD;Senior Consultant;15;25000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
43;Male;PhD;Senior Engineer;17;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
44;Female;PhD;Senior Scientist;16;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
46;Male;Master's;Senior Project Manager;19;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
43;Female;PhD;Senior Product Designer;18;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
45;Male;PhD;Senior Manager;15;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
49;Female;Master's;Senior Financial Analyst;18;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
49;Female;Master's;Senior HR Manager;19;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
42;Female;PhD;Senior Data Scientist;16;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
46;Male;PhD;Senior Researcher;18;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
49;Male;Bachelor's;Sales Executive;21;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
50;Female;Bachelor's;Operations Manager;22;26000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
47;Male;PhD;Research Scientist;22;26000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 42 a 49 años
50;Female;Master's;Director of Operations;21;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 50 años  en adelante
47;Male;PhD;Senior Research Scientist;22;26000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 42 a 49 años
46;Male;PhD;Senior Manager;20;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
51;Female;Master's;Director of Operations;23;26000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
52;Female;Master's;Senior Marketing Manager;25;26000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
48;Male;PhD;Principal Engineer;20;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
45;Male;Master's;Director of Sales;19;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
48;Male;Master's;Director of Product Management;21;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
51;Male;Bachelor's;Sales Director;22;26000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
45;Female;Master's;Director of Marketing;16;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
47;Male;PhD;Senior Data Scientist;21;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
48;Female;Master's;Human Resources Director;20;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
53;Male;Master's;Director of Marketing;25;26000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
50;Female;Master's;Director of Finance;20;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 50 años  en adelante
51;Female;PhD;Director of Human Resources;23;26000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
47;Male;Master's;VP of Operations;19;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
48;Male;Master's;Operations Director;18;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
45;Male;PhD;Research Director;16;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
52;Male;Master's;Director;20;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 50 años  en adelante
47;Male;Master's;VP of Finance;19;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
44;Male;PhD;Chief Data Officer;16;26000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
50;Male;Bachelor's;CEO;25;26000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
52;Male;PhD;Chief Technology Officer;24;28000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
43;Male;Bachelor's;Senior Project Manager;16;28000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
26;Female;Master's;Junior Data Scientist;15;28000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 26 a 33 años
35;Male;Bachelor's;Senior Operations Analyst;7;28000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
42;Female;PhD;Senior Marketing Manager;18;28000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
31;Male;Bachelor's;Junior Accountant;4;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
38;Female;Bachelor's;Senior Human Resources Coordinator;10;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
46;Male;Master's;Director of Operations;20;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
29;Female;Bachelor's;Junior Sales Representative;2;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
37;Male;Master's;Senior Business Analyst;9;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
44;Female;PhD;Senior UX Designer;15;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
27;Male;Bachelor's;Junior Product Manager;2;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
36;Female;Bachelor's;Senior Marketing Specialist;8;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
43;Male;Bachelor's;Senior IT Project Manager;14;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 42 a 49 años
33;Female;Master's;Senior Financial Analyst;6;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
34;Male;Bachelor's;Senior Quality Assurance Analyst;9;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
50;Female;PhD;Director of Sales and Marketing;22;30000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
28;Male;Bachelor's;Junior Operations Analyst;15;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 26 a 33 años
39;Female;Bachelor's;Senior Account Executive;12;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
47;Male;Master's;Director of Business Development;19;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
30;Female;Bachelor's;Junior Social Media Manager;3;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
34;Male;Bachelor's;Senior Product Manager;7;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
40;Female;Master's;Senior Human Resources Specialist;13;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
28;Male;Bachelor's;Junior Business Analyst;2;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
41;Female;Bachelor's;Senior Marketing Coordinator;11;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
45;Male;PhD;Senior Data Analyst;17;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
32;Female;Bachelor's;Junior Account Manager;5;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
35;Male;Master's;Senior Software Developer;9;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
49;Female;Master's;Director of Human Capital;21;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
30;Male;Bachelor's;Junior Advertising Coordinator;3;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
44;Male;Bachelor's;Senior Sales Manager;16;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
27;Female;Master's;Junior UX Designer;15;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 26 a 33 años
36;Male;Bachelor's;Senior Accountant;7;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
41;Female;PhD;Senior Marketing Director;17;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 34 a 41 años
31;Male;Bachelor's;Junior HR Generalist;4;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
39;Female;Bachelor's;Senior Operations Manager;10;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
47;Male;Master's;Director of Finance;20;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
30;Female;Bachelor's;Junior Marketing Coordinator;2;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
38;Male;Master's;Senior IT Consultant;9;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
45;Female;PhD;Senior Product Designer;15;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
28;Male;Bachelor's;Junior Business Development Associate;2;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
35;Female;Bachelor's;Senior Marketing Analyst;8;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
44;Male;Bachelor's;Senior Software Engineer;14;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 42 a 49 años
34;Female;Master's;Senior Financial Advisor;6;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 34 a 41 años
35;Male;Bachelor's;Senior Project Coordinator;9;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
50;Female;PhD;Director of Operations;22;30000,00;Muy Bajo;De 0 a 51000;De 22 a 28;De 50 años  en adelante
29;Male;Bachelor's;Junior Business Operations Analyst;15;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 26 a 33 años
40;Female;Bachelor's;Senior Sales Representative;12;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
48;Male;Master's;Director of Marketing;19;30000,00;Muy Bajo;De 0 a 51000;De 15 a 21;De 42 a 49 años
31;Female;Bachelor's;Junior Social Media Specialist;3;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
33;Male;Bachelor's;Senior Product Development Manager;7;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
42;Female;Master's;Senior Human Resources Manager;13;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 42 a 49 años
28;Male;Bachelor's;Junior Financial Analyst;2;30000,00;Muy Bajo;De 0 a 51000;De 0 a 7;De 26 a 33 años
40;Female;Bachelor's;Senior Marketing Manager;11;30000,00;Muy Bajo;De 0 a 51000;De 8 A 14;De 34 a 41 años
